"English","Wolaytta"
"They will be offended if you don't go their wedding.%","yiillotanawu doosona."
"Anger is an","chafe%● Yiilloy banatettaa naaganawu danddayettenna hanota."
"Your constant complaining is becoming an annoyance.","gidanawu bees."
"a look of reproach%(syn) [puuraa, lancciya, hanqquwa.]","xeelaa"
"Water leaked through the crack in the pot and extinguished the fire.","toyssiis."
"These days, children like to wear modern clothes.","maayanawu dosees."
"fashionable clothes","fashionable, currently popular%● zammaana maayuwa"
"fashionable ideas","zammaana qofaa"
"Their","addiya%1. noun%► boy, male, male person%● Etaso aayyiya addiya yelaasu."
"The cock","mother gave birth to a boy%► cock%● Kutto addee maallado waassiis."
"The boy rudely called the main ""adiya.","xeesiis."
"Their","addiya%1. noun%► boy, male, male person%● Etaso aayyiya addiya yelaasu."
"The cock","mother gave birth to a boy%► cock%● Kutto addee maallado waassiis."
"The boy rudely called the main ""adiya.","xeesiis."
"Mood implies a feeling or display of sullen","yiilluwa qonccisiyo hanqquwa."
"He learned his bad behavior by being with bad children.","eriis."
"The office","addiction%● Alkoole ushsha amalee diyo asa ooso keettay qaxarenna."
"I have a belief that the more education","tamaarida asawu daro qaaday diyogaa."
"Little children have complete reliance on their","bolli kumetta ammanoy de'ees."
"People follow many","parents.%► religion%● Asay alamiyan cora ammanuwa kaallees."
"Just dare to go! I","ane%1. interjection%► just%● Ane bu! Nena ta baqqa yeggana."
"Just close that door. I","will slap you.%● Ane he kariya gorddu. Tana meeggees."
"Somebody is","am cold.%► let%● Asay kariya qoxxees. Ane gelona hayyanaa."
"People say that governance","kaymatettaanne geeshshatettaa koyees yaagees."
"His  business succeeded because of his good management.","dicciis."
"Good governance is very essential.","keehi koshshiyabaa."
"The feeble donkey cannot carry a quintal of salt.%(syn)","caanana danddayenna."
"The lazy student has not passed the","tamaaree paaciyan aadhdhibeenna."
"A lazy man does not","examination.%● Azalla bitaniyassi sooni ay oosoynne baawa."
"Everybody must follow the orders of his/her boss.","bessees."
"ten commandments","statement of command%► commandment%● tammu azazota"
"His provocative speech made me sorry.","aagee tana azzanttiis."
"His careless speech grieved the teacher.%(syn)","asttamaariya azzanttiis."
"People pitied","kayyoyiis%►. pity%● I zaari zaari kunddidoogan asaaa azzanttiis."
"Excuse me, I forgot to visit you at lunch time.%(syn)","xomoosanaagaa balaas."
"To err is human.","I mistook her offer as a threat.%● Baliyogee asan diyabaa."
"We had a simple dinner of bread","kattaa: daabuwara shayiyara kahuwa mi aqida."
"It is not advisable to beat children.","Qeeri naata dechchiyogee lo""o giddenna."
"The man hurt his leg and is now","%● Bitanee ba suyliya deshettid ha''i wobbees."
"The driver crashed the car","limping.%● Laaggiyagee kaamiyan uteeliya dechchiis."
"If you hit","into the hotel. %● Naata dechchikko, qasho keettaa keettaa gelaasa."
"The naughty child does not obey her","na'ay bari asttamaareessi azazettenna."
"A stubborn person does not","stubborn%● Desha asi oddidobaa sohuwara ekkenna."
"I prefer coffee to tea. What about you?","doorays. Ne shin?"
"She chose and bought the eggs from the market.","phuuphulliya doorada shammaasu."
"Soddo town has elected its new mayor.","kanttifaa dooriis."
"Honey","bees and other insects from flower nectar%● Eessay bariya adussees."
"Drinking","prolongs life. %► mead %● Caalida eessaa uyiyogee mattoyees."
"In English, honey mixed with water","Paranjjattuwan 'haydromeeliya' geetettees."
"The ill-proportioned house was built incorrectly.","keexettibeenna."
"He has a pointed nose.","(of nose) %● Assi siiree eqa."
"a nagging wife","terrible (of a man)%● eqa maccaaasiyo"
"He was a well-known actor.","noted; acquaintance %● I erettida akttere."
"The king is a prominent person in the world.","alamiyan erettida asa."
"Kenenisa is a famous runner.","Qananiisi erettida wottanchcha."
"Nelson Mandela is famous leader.","Manddeelli erettida kaalettiya asa."
"His father was","leader, officer, high mark%● A aaway gadaawavgididi dooretiis."
"My boss resigned his office yesterday.%(syn) [halaafiya.]","zino yeddiis."
"The children divided the plot of land when their","gadiya shakki ekkidosona."
"People sing while digging land.%","father died.%● Asay gadiya oottiiddi bolees."
"Land is the solid part of the earth’s surface not covered by a body of","sohuwa."
"The Great Ethiopian Race began","Gebre Sillaasee gakettaappe simmin doomettiis."
"My brother visited our family last year during","zilaytti badala gakettan yiis."
"the","the ripening of maize.%► maturation; growth%● yiiratu asa gamma gakkettaa"
"He married the girl next door.%(syn) [galddiyo, mulssiyo.]","ekkiis."
"The","land%● Goyettidi go''an pee'ibeenna biittay geela'o biitta geetettees."
"the Virgin Mary","Mayraamo"
"He wore a pair of trousers.%(syn) [shookkiis]","gixxiis."
"The soldiers","somebody or a country with weapons%● Wotaadarati gixxidosona."
"He consulted the nurse in order to heal the","aakimiya zorettaa bessiis."
"Having taken","patient.%● Xaliya mitti simmidi hargganchchay guuttaa pashkkiis."
"A sick person should quickly get treatment.","bessees."
"It becomes cold in the rainy season and becomes hot in the dry","balggo irxxees."
"Please, calm down! It","neessi lo''enna,"" keettaaway ba keettaayyiyo yaagiis."
"Some lazy","dawwalee dawwalettanaappe kasettidi kifiliyappe kiyiichchoosona."
"There are fifty students in my class.","tamaare naati de'oosona."
"A stem is a part of a plant.","%● Anoy dozatu bollaa kifiliya."
"The boy fell into the river and broke his leg.%(syn) [huuphe","gediya me''iis."
"She","canggaraariis, biittaa shammiis]%► fail%● A zilaytti paaciyan kunddaasu."
"He","failed the examination last year.%● I kolloojjiya gelennan kunddi attiis."
"I decided to walk to","beeruwa kaamee baynna gishawu, tohuwan baanawu kuuyaas."
"He fixed the","the office as there was no car service.%● Booraa gatiya kuuyiis."
"The results showed that both the children are lazy","gidiyogaa bessiis."
"Because she put a small amount of sugar into the tea, it","shayee mal''ibeenna."
"If a crop is sown sparse, it will be","%● Kattaa zeriiddi laalanttikko, goobees."
"The farmer thinned the","fruitful.%● Goshshanchchay kaarootiya laallanttiis."
"The teacher's instructions confused the students.","luxiyageeta laallanttiis."
"Weak hands cannot grasp things well.","danddayenna."
"The","uncomplicated; unproblematic%● Tamaareti lefa paaciyan aadhdhidosona."
"His belt is loose.","leppiis%1. intransitive verb%► be loose%● A saqqee leppiis."
"Being in bed for three","Hargganchchay heezzu aginaa zin""i denddidi leppiis."
"Why don't you sit","Students, sit properly please.%● Ayssi maara uttikkii?"
"proper work","properly?%2 . adjective%► proper; orderly%● maara oosuwa"
"A husband loves his","maccaasiyo%1. noun%► wife%● Azinay ba maccaasiyo siiqees."
"This is a violent woman who quarrels with her","warettiya xalttaama maccaasa."
"That maiden has not married yet.","husband.%● He maccaassiya azinaa gelabeykku."
"It could be my imagination,","gidanaw danddayees, shin iray bukkennan aggenna."
"A magician knows nothing about my future.","erenna."
"Some people believe a sorcerer","sintta deettaabaa erees giidi ammanoosona."
"His name has been canceled from the","sunttay mazggabaappe qucettiichchiis."
"The Ministry of Education has many ledgers","qonccissiya mazggabati de'oosona."
"Registration for the students was postponed due to the heavy","yererettiis."
"Reading the newspaper is a benefit of being literate.","xaafuwa erawu go''ees."
"The pronunciation of this word is not clear for me.","nabbaboy taassi erettenna."
"Your daughter's husband is your son in-law.","neessi bollo."
"If you answer this question, I am going to reward you.","neessi woytuwa immana."
"Does anyone have any questions?","%● Oossinne ay oyshikka de'ii?"
"Tomorrow","Wontto maallado paaciyan aadhdhida naatussi oychchi zaaroy de'ees."
"Healthy people get exercise, eat well,","loyttidi moosonanne daro xiskkoosona."
"Her radiant","and get plenty of sleep.%● I pashkka somm''oy asa ubbaa ufayssiis."
"She has a joyful attitude.%(syn)","smiley; funny%● Iyyoo pashkka hanotay de'ees."
"His","better, regain health%● A masunttay shuhetti simmin guutta paxiiddi dees."
"If a patient uses an effective medicine, it heals him.","hargganchchay paxees."
"The patient has","Mata wode sahetto sahuwappe hargganchchay muleera paxiis."
"Four lively people are dancing.%(syn) [pilaata, tilla.]","doosona."
"That was a noble deed that you did for the children.","payya ooso."
"The coffee in the kettle","The grains boiled over.%● Jabanan diya tukkee porees."
"Children raised without discipline become conceited.%(syn)","poroosona."
"He blew a","punniis%1. transitive verb%► blow; puff%● I xurumbbaa punniis."
"He inhaled and blew out a","trumpet.%● Sigaaraa sarbbidi daro cuwaa punniis"
"She","stream of cigarette smoke.%(syn) [suraggiis.]%► sift%● A kattaa punnaasu."
"military fort","stronghold%● tooranchchatu qatuwa"
"I couldn't find his address.","A qatuwa demmanaw danddayabeykke."
"The hunters stayed in","Shankkanchchati qatuwan naa''u saamintta takkidosona."
"Would you please clean my","polish%● Hayyanaa, ta caammaa quccarkkii; qitattiis."
"The director deleted the naughty students' names","masggabaappe qucciichchiis."
"He buffed the gun.","from the list.%● Xamanjjaa qucciis."
"The man usually had someone","beeruwa baanaappe kasetidi caammaa qucissees."
"Birds fly in","saluwa%1. noun%► sky; firmament; space%● Kafoy saluwan paallees."
"The sky is blue.%(syn) [deegaraa.]","the sky.%● Saloy samaaye."
"Many people","asay hayquwappe hini baggan saluwan de'oy diyogaa ammanees."
"Do theycsmoke inside the bus?","sigaaraa sarbbiyonaa?"
"Would you like a cigarette? No, thanks. I","galatays. Ta sijaara sarbbikke."
"He devoured the food","don't smoke.%► devour%● I qumaa guutta wodiyan sarbbiis."
"Because of the","Laa'iya harggiya gaasuwan, A aakimee haratuppe shaahetta giis."
"The town has been cut off by the floods.%2.","di'uwan shaahetti wodhdhiis."
"He went to school, but he did not attend the lessons properly.","kaallibeenna."
"He has been","however%● I iita harggidaagaa shin ha""i pilaattiidi dees."
"He stayed until we left.","takkiis."
"I was","Whom did they invite to the wedding?%● Ta zino A son laaxaa shoobettaas."
"Help two quarrelers.","quarreling people)%● Naa''u warettiya asata shoobba!"
"He is going to the hospital to","surgery%● I shuhawu hospitaaliya biidi dees."
"The doctor performed the surgery.","have an operation.%● Dottoree shuhaa poliis."
"The association of people killed a","baalaayyoo wogga, modhdho booraa shukkiis."
"Sheep and goats are slaughtered for their meat.%(syn)","maanaassi shuhettoosona."
"The doctor operated on his stomach.","shukkiis."
"The man shoved the thief out of the way.","kessiis."
"I gave her a gentle push to talk.","bessaas."
"People shove one another in the market.","sugettoosona."
"The bus cannot move in the","gelidaagee qaaxenna. Asa ubbay sugana mala koyees."
"Your father worked hard and was promoted.","sunttettiis."
"Father assigned the","Aaway hayqqiidi wogga keettaa bayra machcheessi sunttiis."
"I haven't time to waste and must continue my work.%(syn) [sa'aa,","harddana."
"There are four seasons in a year. These are:","balgguwa, badhdheesaanne boniya."
"He begged me to give my testimony in court.","markkattana mala woossiis."
"A lazy farmer","Azalla goshshanchchay balggo oottennan shaaccidi bone woossees."
"The elders are praying for rain this year.","woossoosona."
"The","wuriis%1. intransitive verb%► be finished%● Oosoy wuriis. Wontto yooppa."
"Would you lend me your pen, please?","tawu ne biiriya garxxuutee? Taagee wuriis."
"Because my","Mine is used up.%● Zino tawu miishshay wurin ta laggiya tal''aasu."
"Wrapping the","up or folding%● Pooxaa huuphiyan xaaxidi na'ay hemetawu kiyiis."
"The snake coiled up.","Shooshshay xaaxettiis."
"Don't blame the people. It is your fault.","Hagee ne mooro."
"Finding the thief, the guard shot the gun.","xuussiis."
"He cracked the whip.","xurqqayiya xuussiis."
"The terrorists exploded the bombs and","bombbiya xuussidi daro asaa woridosona."
"The woman followed the farmer","sharafaa shoddidi gadiya yippiyode A kaallaawsu."
"After plowing, the farmer leveled out the","gaashshiya zeranawu gadiya yippiis."
"A gullible person is easily fooled.","sohuwara cimeti aggees."
"The ignorant child knows nothing.","aynne erenna."
"This gullible boy's words cannot be trusted.","qaalay ammanettanawu danddayenna."
"It is too difficult to train an","%● Yummanna asa tamaarissanaagee keehi meto."
"You should follow your doctor's advice.","bessees."
"People usually listen to his","haasayiyo gishshawu A zoriya ezggees."
"His grandfather gives wise counsel.","immees."
"I recommend you read this book again","maxaafiyo nabbabana mala zoriya immays."
"In order to be spiritually blessed, one has to","ba wozanan geeyyana koshshees."
"He","kolloojjiyappe anjjettiis. Ha''i assi Inggilizetuwa dippiloomay de'ees."
"Only twenty students graduated last year.","laatamu tamaare xalaalay anjjettiis."
"We both graduated from","%● Nu naa''aykka kolloojjiyappe 2000 M.L anjjettida."
"In order to be spiritually blessed, one has to","ba wozanan geeyyana koshshees."
"He","kolloojjiyappe anjjettiis. Ha''i assi Inggilizetuwa dippiloomay de'ees."
"Only twenty students graduated last year.","laatamu tamaare xalaalay anjjettiis."
"We both graduated from","%● Nu naa''aykka kolloojjiyappe 2000 M.L anjjettida."
"The competition had just started when it began to rain.","doommiyode doommiis."
"She","A keehi puulanchcha; meraa lo''otettaa annaaciyan A xoonanaw danddayaws."
"It was just bad luck that it rained before the match.","koyrottidi iray bukkiis."
"The twins are in","%● Mentte naati bantta aayee xanttaa annaaciyan xammoosona."
"It is","aayyiyo%1. noun%► mother%● Cora naata yeliyogee aayyiyo keehippe qohees."
"We should show respect to our mother.","aayyeessi bonchchuwa immanawu bessoos."
"The love from a","Aayee siiquwawu zawi baawa. I siiqoy aybippekka aadhdhees."
"Ladies and gentlemen, please, take your","hayyanintta, intte oyddiyan uttitte."
